,código,fecha,dia,mes,año,servicio,Servicio resumido,ciudad,estado,municipio,Región,Columna1,medio,tipo de evento,Evento resumido,periodista,vocero,población vulnerable,Número de personas afectadas,Unidad de medida,gremio u organización,tipo de institución,Tipo de registro,url,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
26,,2019/05/15,15.0,5.0,2019.0,TELECOMUNICACIONES,Telecomunicaciones,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,SERVICIO MALA CALIDAD,Servicio de mala calidad,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/movistar-presenta-fallas-desde-hace-dias/,,,,,,,,,,,,,,,
54,,2019/06/01,1.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/calle-de-los-frenos-llena-de-basura/,,,,,,,,,,,,,,,
56,,2019/06/02,2.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,EL PITAZO,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/vecinos-de-san-rafael-incomodos-por-la-basura/,,,,,,,,,,,,,,,
61,,2019/06/03,3.0,6.0,2019.0,INTERNET HOGAR,Telecomunicaciones,PUERTO ORDAZ,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/reportan-fallas-de-internet-en-paratepuy/,,,,,,,,,,,,,,,
64,,2019/06/04,4.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/vecinos-de-villa-colombia-no-toleran-la-basura/,,,,,,,,,,,,,,,
72,,2019/06/05,5.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/calles-de-castillito-inundadas-de-basura/,,,,,,,,,,,,,,,
96,,2019/06/09,9.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,1,CENTRO COMERCIAL,,,Evento,https://primicia.com.ve/guayana/ciudad/mercado-de-unare-colapsa-en-basura/,,,,,,,,,,,,,,,
170,,2019/06/16,16.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/basura-afecta-ventas-en-mercado-de-chirica/,,,,,,,,,,,,,,,
171,,2019/06/17,17.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,PUERTO ORDAZ,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/villa-colombia-entre-basura-y-aguas-negras/,,,,,,,,,,,,,,,
185,,2019/06/17,17.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/villa-colombia-entre-basura-y-aguas-negras/,,,,,,,,,,,,,,,
220,,2019/06/19,19.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/basura-y-pozos-de-agua-en-los-alacranes/,,,,,,,,,,,,,,,
261,,2019/06/23,23.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/curagua-llena-de-basura/,,,,,,,,,,,,,,,
267,,2019/06/24,24.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/villa-brasil-entre-aguas-servidas-y-basura/,,,,,,,,,,,,,,,
273,,2019/06/25,25.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,UPATA,BOLÍVAR,PIAR,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/regiones/san-lorenzo-vive-ahogado-en-dificultades/,,,,,,,,,,,,,,,
304,,2019/06/26,26.0,6.0,2019.0,AGUA,Agua,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/sector-24-de-julio-sin-agua-potable/,,,,,,,,,,,,,,,
312,,2019/06/27,27.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/ciudad-guayana-invadida-de-moscas-por-basura-acumulada/,,,,,,,,,,,,,,,
313,,2019/06/27,27.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,ENEFERMEDAD ASOCIADA,Enfermedad asociada,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/ciudad-guayana-invadida-de-moscas-por-basura-acumulada/,,,,,,,,,,,,,,,
331,,2019/06/29,29.0,6.0,2019.0,AGUA,Agua,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,EL PITAZO,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/sin-agua-potable-en-la-victoria/,,,,,,,,,,,,,,,
340,,2019/06/30,30.0,6.0,2019.0,ASEO URBANO ,Aseo urbano,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/acumulacion-de-desechos-aumentan-en-guaiparo/,,,,,,,,,,,,,,,
388,,2019/07/02,2.0,7.0,2019.0,ASEO URBANO ,Aseo urbano,CIUDAD GUAYANA,BOLÍVAR,CARONÍ,Guayana,PORTAL WEB,PRIMICIA,FALTA DE SERVICIO,Falta de servicio,,,,,,,,Evento,https://primicia.com.ve/guayana/ciudad/vecinos-de-san-rafael-incomodos-por-la-basura/,,,,,,,,,,,,,,,
